,sub,node,distance,delta_dim
0,sub-200,0,29.610647443107347,0.046463034965332994
0,sub-200,1,49.355879265696394,0.07313123583243386
0,sub-200,2,42.62753972504159,0.057550700350984085
0,sub-200,3,49.23331061314077,0.08589829668238202
0,sub-200,4,66.74568849154228,0.04939396347242786
0,sub-200,5,32.848066835660205,-0.10390255157399841
0,sub-200,6,72.57241675629936,0.0410182074239589
0,sub-200,7,51.84429735284295,-0.013858756857490162
0,sub-200,8,73.9766615338243,0.07442433239046387
0,sub-200,9,55.768249597149804,0.06449129586566138
0,sub-200,10,63.405630895765086,0.027303508284540978
0,sub-200,11,66.33306282767289,-0.06937165095984144
0,sub-200,12,81.18131249745842,-0.05359253987642676
0,sub-200,13,74.28375611558693,0.05366892578154325
0,sub-200,14,33.932674284971995,-0.10432765156162427
0,sub-200,15,34.433307126821255,-0.18836063643090784
0,sub-200,16,37.53951263215866,-0.15139503288287592
0,sub-200,17,43.78812558913661,-0.10232951658642375
0,sub-200,18,43.23719749856598,-0.12148928849010954
0,sub-200,19,59.10025099303724,-0.10080373246726038
0,sub-200,20,71.38483844248721,-0.11417454145855666
0,sub-200,21,75.99286421875412,0.031652644153244314
0,sub-200,22,78.79619479905105,-0.04052455713375003
0,sub-200,23,78.95212234012459,0.025813379753451438
0,sub-200,24,85.69685147781101,-0.06173025688695888
0,sub-200,25,85.95056575532239,-0.052034821605062564
0,sub-200,26,89.83898307199387,-0.04313859258853947
0,sub-200,27,92.84246802159021,-0.021503010080687446
0,sub-200,28,92.65539793260834,-0.03602435959654571
0,sub-200,29,90.68543656977123,-0.0598547609889748
0,sub-200,30,19.671930770770814,0.07335643569780337
0,sub-200,31,41.56422897456418,0.07592647325804935
0,sub-200,32,72.76924016430294,-0.037356790848142696
0,sub-200,33,65.61804863153125,-0.08220710934502629
0,sub-200,34,68.99617728403508,-0.06288527296496493
0,sub-200,35,71.03991626325299,-0.10083105433108663
0,sub-200,36,89.3268205392423,-0.043870537030349155
0,sub-200,37,86.4821304606333,-0.09520025955499478
0,sub-200,38,89.59936851462737,-0.16487869549179957
0,sub-200,39,94.60191005101322,-0.0696954513549275
0,sub-200,40,78.83235840547967,-0.02777042538358465
0,sub-200,41,91.012174413152,-0.06212025577614311
0,sub-200,42,62.12077903318663,-0.13849181004071287
0,sub-200,43,46.84584457515949,-0.10464438963235634
0,sub-200,44,55.31053080752345,-0.053405649459624005
0,sub-200,45,62.28043627368067,-0.08569733948139824
0,sub-200,46,30.999400638238154,-0.04253294260076501
0,sub-200,47,56.38100471506339,-0.04360682665111848
0,sub-200,48,44.25215992751089,-0.084099186118058
0,sub-200,49,51.58036031717887,-0.09758709824467182
0,sub-200,50,89.82763104190157,-0.06425367333345622
0,sub-200,51,80.18849333389423,-0.027294792662378775
0,sub-200,52,72.72513331716895,-0.00473862116192203
0,sub-200,53,95.48122551512418,0.04550332293763848
0,sub-200,54,53.16311525230628,-0.08311282207315362
0,sub-200,55,70.81007202524229,-0.12683756974422722
0,sub-200,56,30.52996563067179,-0.010448807710840669
0,sub-200,57,15.362788031148513,0.07348819070929502
0,sub-200,58,42.570866457707915,-0.15088107477411583
0,sub-200,59,37.93312883615061,-0.1016249399086473
0,sub-200,60,72.42057353273309,-0.1518211633357589
0,sub-200,61,76.53341133021577,-0.07484652639860667
0,sub-200,62,69.22916475164207,-0.0925789982529086
0,sub-200,63,28.233021582714105,0.05908645972291948
0,sub-200,64,72.68148359307204,-0.12181316881702053
0,sub-200,65,80.49414210767142,-0.08722452564078775
0,sub-200,66,92.75628730344914,-0.0726054833508547
0,sub-200,67,79.28718168745814,-0.11935102794633923
0,sub-200,68,69.82876032474013,-0.12178626549473082
0,sub-200,69,73.96342453760506,-0.03308764103929773
0,sub-200,70,78.17633802270352,-0.06549058842911482
0,sub-200,71,58.11856424947196,-0.12928484818717711
0,sub-200,72,69.773720412631,-0.0826029210060728
0,sub-200,73,40.53131386348092,-0.06307643153092224
0,sub-200,74,25.47999925137363,-0.042282689148609
0,sub-200,75,31.772768864233417,-0.07227440414599884
0,sub-200,76,27.240373853712065,-0.07939132745705124
0,sub-200,77,37.53932061199297,-0.15098874734642043
0,sub-200,78,49.35366753302128,-0.008573815196553314
0,sub-200,79,72.49932249897236,-0.1019051073513253
0,sub-200,80,58.543408941058416,-0.02182506963751285
0,sub-200,81,69.96320220151448,-0.08870748379860927
0,sub-200,82,50.85917851499374,-0.02931118563654178
0,sub-200,83,73.38279584160036,-0.07093028962119563
0,sub-200,84,62.68289154067481,-0.017715244312858758
0,sub-200,85,96.60216648181346,-0.03867134453101473
0,sub-200,86,61.33933487151618,-0.09561794936187407
0,sub-200,87,85.15448235418968,-0.0015757853736610983
0,sub-200,88,101.39468053768897,-0.06097844469009184
0,sub-200,89,81.41224268886099,-0.062181042320525126
0,sub-200,90,104.11460608363267,-0.07421310951621196
0,sub-200,91,95.97694758289617,-0.0361959008906898
0,sub-200,92,85.48080713873729,-0.009879063089730966
0,sub-200,93,89.859659560005,-0.09326875958421321
0,sub-200,94,100.28427966964713,-0.012931608562635422
0,sub-200,95,50.648317787662,-0.21539183984383214
0,sub-200,96,63.211730451871034,-0.17359473077493526
0,sub-200,97,66.74315167243752,-0.13220831442418568
0,sub-200,98,74.52125830291648,-0.16603757355069537
0,sub-200,99,12.06910907068122,0.10117419951005213
0,sub-200,100,76.00685142630235,0.08815907953785662
0,sub-200,101,65.1526002931579,0.09109993009773087
0,sub-200,102,76.90921182095158,0.12612078725796416
0,sub-200,103,62.65534383115297,0.08475244580710495
0,sub-200,104,96.69968951413442,0.06384700898912166
0,sub-200,105,80.83865795768754,0.07353511399393664
0,sub-200,106,59.30149609967694,-0.07903603745773702
0,sub-200,107,94.55191771000733,0.09382146276621395
0,sub-200,108,70.81937276176623,0.06727221396326577
0,sub-200,109,71.78724217749279,0.025806463827112047
0,sub-200,110,98.91706614644411,0.039926939930932104
0,sub-200,111,93.2540934903128,0.054595812189467186
0,sub-200,112,80.45256498937742,0.019778902866634196
0,sub-200,113,97.81379883830297,0.10842012826520753
0,sub-200,114,98.40257670010475,-0.03807998799369372
0,sub-200,115,94.09691670639374,-0.21158708001528548
0,sub-200,116,105.10837556474745,-0.10325108538457206
0,sub-200,117,85.0663251919348,-0.16517906508932745
0,sub-200,118,90.17620655921382,-0.1671209066055639
0,sub-200,119,105.56692980825008,-0.08131803713054153
0,sub-200,120,102.04228185458223,-0.1113428046039382
0,sub-200,121,110.63177994093739,-0.034119131601652475
0,sub-200,122,79.08838184518633,0.048391688075331896
0,sub-200,123,114.708361844026,-0.06137590706650253
0,sub-200,124,110.56990464932127,0.05286356723201213
0,sub-200,125,87.05153847796144,0.03291283229285469
0,sub-200,126,109.68836298327184,-0.03452149621065259
0,sub-200,127,109.92852240260487,-0.09313389201798161
0,sub-200,128,110.45505477713547,-0.09168134248620752
0,sub-200,129,108.70541677681017,-0.07204820331404616
0,sub-200,130,108.54980360212541,-0.0480995436059386
0,sub-200,131,102.27311561798633,-0.126194080604084
0,sub-200,132,99.02722515480276,-0.05198854246829887
0,sub-200,133,107.44584928446514,-0.07946995675260049
0,sub-200,134,90.87859165667126,0.10798939784938288
0,sub-200,135,98.69229634201444,-0.013939211217534053
0,sub-200,136,112.42376893490984,-0.07523426757934581
0,sub-200,137,109.21903013394689,-0.1567050544324886
0,sub-200,138,103.70074360138406,-0.06494281667522461
0,sub-200,139,100.50039897662097,-0.10554344721638076
0,sub-200,140,103.30454014640401,-0.09128248505626058
0,sub-200,141,106.40657570516964,-0.13742837322332124
0,sub-200,142,97.75180337395314,-0.09324171906521928
0,sub-200,143,110.22154653814289,-0.11923827213202665
0,sub-200,144,105.83491470611199,-0.06599564203703023
0,sub-200,145,107.46392735615984,-0.044950591374942395
0,sub-200,146,105.6243220095637,-0.0911258310030556
0,sub-200,147,100.19695032854045,-0.04723555722213746
0,sub-200,148,104.88701938261951,-0.018107316106609428
0,sub-200,149,109.0197779396014,-0.1407802291916478
0,sub-200,150,112.49582397515918,-0.05135965092593198
0,sub-200,151,86.08252484831053,-0.05210124757773782
0,sub-200,152,89.2284789345868,-0.313575800314974
0,sub-200,153,94.0835095936052,-0.0191206116035878
0,sub-200,154,91.9949423982645,-0.09267155412508865
0,sub-200,155,85.6521253093582,-0.014420429934726808
0,sub-200,156,83.54505783378212,-0.07817857116807558
0,sub-200,157,103.4192538976181,0.00834169431814935
0,sub-200,158,84.15320554476817,-0.07457443887228266
0,sub-200,159,83.56021731164898,-0.0614463303616517
0,sub-200,160,108.34063215793049,-0.10550270776298576
0,sub-200,161,78.64937747147144,-0.07315062696028485
0,sub-200,162,86.84839283734615,0.005374681257679148
0,sub-200,163,65.69828696100073,0.03094264872402297
0,sub-200,164,115.40976089417221,-0.11165642970306267
